cmpgn_cd,operationId
Campaign,0ca4c6b12fba490e8a74d2b26ed7f8f5
cccs18001001,17b590aac5e94ffaa122af6fc3956613
cccs18001001-g5,b366585f12e340a49b10b989af82b61e
cccs18001001-g6,674fcbe88b6144ff8015e8ef26ee3ae6
cccs18001001-g7,7e3055b09d97449387af0ebd8142f2c8
cccs18001001-g8,c2d8514fae40462b9508a7169ed4247a
cccs18001002,7eaf55adbf4047a7aab8a0df38ce31ee
cccs18001002-g5,6716f769aa894b27b92b61e42542dd6e
cccs18001002-g6,9a60ad7bdc314d4ab3b7acff92f375af
cccs18001002-g7,295dd3b1a9764cc0805b1e8990bd41bb
cccs18001002-g8,2cfb2f3e8b41492781889cf85b6fe425
